Strategy:,HighBoiler Kpa Count:,HighBoiler Kpa Count:,Sum: 
1,120,120,240
2,120,120,240
3,120,120,240
4,120,120,240
5,120,120,240
6,120,120,240
7,120,120,240
8,120,120,240
9,120,120,240
10,120,120,240
11,120,120,240
12,120,120,240
13,120,120,240
14,120,120,240
15,120,120,240
16,120,120,240
17,120,120,240
18,120,120,240
19,120,120,240
20,120,120,240
21,120,120,240
22,120,120,240
23,120,120,240
24,120,120,240
25,120,120,240
26,120,120,240
27,120,120,240
28,120,120,240
29,120,120,240
30,120,120,240
31,120,120,240
32,120,120,240
33,120,120,240
34,120,120,240
35,120,120,240
36,120,120,240
37,120,120,240
38,120,120,240
39,120,120,240
40,120,120,240
41,120,120,240
42,120,120,240
43,120,120,240
44,120,120,240
45,120,120,240
46,120,120,240
47,120,120,240
48,120,120,240
49,120,120,240
50,120,120,240
51,120,120,240
52,120,120,240
53,120,120,240
54,120,120,240
55,120,120,240
56,120,120,240
57,120,120,240
58,120,120,240
59,120,120,240
60,120,120,240
61,120,120,240
62,120,120,240
63,120,120,240
64,120,120,240
65,120,120,240
66,120,120,240
67,120,120,240
68,120,120,240
69,120,120,240
70,120,120,240
71,120,120,240
72,120,120,240
73,120,120,240
74,120,120,240
75,120,120,240
76,120,120,240
77,120,120,240
78,120,120,240
79,120,120,240
80,120,120,240
81,120,120,240
82,120,120,240
83,120,120,240
84,120,120,240
85,120,120,240
86,120,120,240
87,120,120,240
88,120,120,240
89,120,120,240
90,120,120,240
91,120,120,240
92,120,120,240
93,120,120,240
94,120,120,240
95,120,120,240
96,120,120,240
97,120,120,240
98,120,120,240
99,120,120,240
100,120,120,240
101,120,120,240
102,120,120,240
103,120,120,240
104,120,120,240
105,120,120,240
106,120,120,240
107,120,120,240
108,120,120,240
109,120,120,240
110,120,120,240
111,120,120,240
112,120,120,240
113,120,120,240
114,120,120,240
115,120,120,240
116,120,120,240
117,120,120,240
118,120,120,240
119,120,120,240
120,120,120,240
121,120,120,240
122,120,120,240
